state,type,date,sex,abs,rate
Perak,neonatal,2021-01-01,both,130,4.21858774662513
Perlis,neonatal,2021-01-01,both,21,5.152109911678116
Pulau Pinang,neonatal,2021-01-01,both,66,3.5539281675730976
Sabah,neonatal,2021-01-01,both,232,5.575850797923477
Sarawak,neonatal,2021-01-01,both,97,3.10161795740871
Selangor,neonatal,2021-01-01,both,264,2.9294924432410836
Terengganu,neonatal,2021-01-01,both,127,4.822113376618446
W.P. Kuala Lumpur,neonatal,2021-01-01,both,74,3.516107573885774
W.P. Labuan,neonatal,2021-01-01,both,8,5.256241787122208
W.P. Putrajaya,neonatal,2021-01-01,both,8,3.7986704653371324
Johor,neonatal,2021-01-01,male,125,4.862299673253462
Kedah,neonatal,2021-01-01,male,78,4.579614842649131
Kelantan,neonatal,2021-01-01,male,111,6.212222968435191
Melaka,neonatal,2021-01-01,male,31,4.550792718731651
Negeri Sembilan,neonatal,2021-01-01,male,41,4.700217814971913
Pahang,neonatal,2021-01-01,male,64,5.069708491761723
Perak,neonatal,2021-01-01,male,74,4.6960274146465295
Perlis,neonatal,2021-01-01,male,8,3.7243947858473
Pulau Pinang,neonatal,2021-01-01,male,35,3.680336487907466
Sabah,neonatal,2021-01-01,male,117,5.4307463795024145
Sarawak,neonatal,2021-01-01,male,55,3.424231104470178
Selangor,neonatal,2021-01-01,male,143,3.0661692182340583
Terengganu,neonatal,2021-01-01,male,66,4.841549295774647
W.P. Kuala Lumpur,neonatal,2021-01-01,male,48,4.366812227074235
W.P. Labuan,neonatal,2021-01-01,male,7,9.271523178807948
W.P. Putrajaya,neonatal,2021-01-01,male,4,3.669724770642202
Johor,neonatal,2021-01-01,female,96,3.953545836422041
Kedah,neonatal,2021-01-01,female,68,4.2478760619690155
Kelantan,neonatal,2021-01-01,female,70,4.142992424242424
Melaka,neonatal,2021-01-01,female,31,4.858934169278997
Negeri Sembilan,neonatal,2021-01-01,female,31,3.8490191209336975
Pahang,neonatal,2021-01-01,female,45,3.7869224943196165
Perak,neonatal,2021-01-01,female,56,3.7189533802629833
Perlis,neonatal,2021-01-01,female,13,6.742738589211618
Pulau Pinang,neonatal,2021-01-01,female,31,3.421255932016334
Sabah,neonatal,2021-01-01,female,115,5.7316586921850075
Sarawak,neonatal,2021-01-01,female,42,2.7609781751249014
Selangor,neonatal,2021-01-01,female,121,2.782888684452622
Terengganu,neonatal,2021-01-01,female,61,4.801259346713892
W.P. Kuala Lumpur,neonatal,2021-01-01,female,26,2.58603540879252
W.P. Labuan,neonatal,2021-01-01,female,1,1.303780964797914
W.P. Putrajaya,neonatal,2021-01-01,female,4,3.937007874015748
Johor,neonatal,2022-01-01,both,202,4.2
Kedah,neonatal,2022-01-01,both,114,3.7
Kelantan,neonatal,2022-01-01,both,168,5.0
Melaka,neonatal,2022-01-01,both,64,4.9
Negeri Sembilan,neonatal,2022-01-01,both,63,3.9
Pahang,neonatal,2022-01-01,both,94,4.0
Perak,neonatal,2022-01-01,both,139,4.7
Perlis,neonatal,2022-01-01,both,24,6.4
Pulau Pinang,neonatal,2022-01-01,both,63,3.6
Sabah,neonatal,2022-01-01,both,227,5.2
Sarawak,neonatal,2022-01-01,both,131,4.2
Selangor,neonatal,2022-01-01,both,286,3.4
Terengganu,neonatal,2022-01-01,both,126,5.0
W.P. Kuala Lumpur,neonatal,2022-01-01,both,70,3.5
W.P. Labuan,neonatal,2022-01-01,both,10,7.3
W.P. Putrajaya,neonatal,2022-01-01,both,8,4.4
Johor,neonatal,2022-01-01,male,114,4.6
Kedah,neonatal,2022-01-01,male,54,3.4
Kelantan,neonatal,2022-01-01,male,98,5.6
Melaka,neonatal,2022-01-01,male,44,6.5
Negeri Sembilan,neonatal,2022-01-01,male,31,3.7
Pahang,neonatal,2022-01-01,male,50,4.1
Perak,neonatal,2022-01-01,male,77,5.1
Perlis,neonatal,2022-01-01,male,14,7.1
Pulau Pinang,neonatal,2022-01-01,male,36,4.0
Sabah,neonatal,2022-01-01,male,137,6.1
Sarawak,neonatal,2022-01-01,male,77,4.8
Selangor,neonatal,2022-01-01,male,170,3.9
Terengganu,neonatal,2022-01-01,male,73,5.6
W.P. Kuala Lumpur,neonatal,2022-01-01,male,42,4.1
W.P. Labuan,neonatal,2022-01-01,male,5,7.1
W.P. Putrajaya,neonatal,2022-01-01,male,2,2.1
Johor,neonatal,2022-01-01,female,88,3.7
Kedah,neonatal,2022-01-01,female,60,4.0
Kelantan,neonatal,2022-01-01,female,70,4.3
Melaka,neonatal,2022-01-01,female,20,3.1
Negeri Sembilan,neonatal,2022-01-01,female,32,4.2
Pahang,neonatal,2022-01-01,female,44,3.9
Perak,neonatal,2022-01-01,female,62,4.3
Perlis,neonatal,2022-01-01,female,10,5.6
Pulau Pinang,neonatal,2022-01-01,female,27,3.1
Sabah,neonatal,2022-01-01,female,90,4.3
Sarawak,neonatal,2022-01-01,female,54,3.6
Selangor,neonatal,2022-01-01,female,116,2.9
Terengganu,neonatal,2022-01-01,female,53,4.3
W.P. Kuala Lumpur,neonatal,2022-01-01,female,28,2.9
W.P. Labuan,neonatal,2022-01-01,female,5,7.5
W.P. Putrajaya,neonatal,2022-01-01,female,6,6.8
